Order_Priority,Order_Quantity,Sales,Ship_Mode,Profit,Region,Customer_Segment,Product_Category,Product_Container
3,38,783.96,0,-1195.29,3,0,0,1
1,22,1132.54,0,-628.38,3,0,0,1
4,49,7002.08,0,-1640.51,0,0,2,1
3,7,1874.37,0,67.84,0,0,2,1
1,3,431.29,0,-164.59,0,0,2,1
1,29,20872.16,0,-4437.91,0,0,1,1
3,32,9235.97,0,2848.17,0,0,0,1
1,3,441.43,0,-154.45,0,0,2,1
0,34,6607.92,0,1462.72,0,0,1,1
2,1,195.04,0,-149.41,1,0,0,1
0,31,2645.8,0,-684.78,3,0,0,1
0,6,90.75,0,-26.39,4,0,2,1
4,9,196.41,0,27.91,4,0,2,1
1,36,3722.29,1,950.68,2,2,2,2
1,12,1323.67,1,630.28,2,0,2,2
3,37,4896.93,1,1467.82,1,2,2,2
2,36,7783.36,1,3506.24,1,1,0,2
4,32,2564.45,1,650.73,0,3,0,2
3,35,1476.39,1,-303.62,0,2,2,2
2,32,2593.08,1,-673.31,0,1,2,2
1,15,217.66,1,-24.91,1,0,0,2
4,49,1981.26,1,100.8,3,2,2,2
0,24,1452.48,1,376.52,3,3,2,2
0,19,394.27,0,30.94,5,1,0,2
4,37,1003.06,0,271.78,5,1,0,2
0,9,64.0305,0,-58.34,2,1,1,2
0,8,435.29,0,122.41,1,1,2,2
1,25,342.85,0,-32.42,3,1,1,2
3,39,1105.66,0,-136.2,0,1,0,2
0,17,224.09,0,-27.92,0,1,0,2
4,7,1120.27,0,16.81,0,1,1,2
0,7,131.55,0,-43.74,1,1,1,2
3,42,493.56,0,12.73,1,1,1,2
4,6,9620.82,0,-1759.58,5,0,0,2
2,25,3019.41,0,1269.05,2,0,1,2
3,12,22079.47,0,5322.14,2,0,1,2
3,8,234.28,0,-65.42,2,0,0,2
4,2,42.31,0,-53.08,2,0,1,2
1,44,275.91,0,-162.37,2,0,1,2
2,37,5753.85,0,2509.52,2,0,1,2
4,16,2631.107,0,297.11,2,0,1,2
3,37,1601.24,0,520.69,2,0,0,2
1,8,1219.19,0,44.37,2,0,1,2
4,1,104.85,0,-98.31,2,0,2,2
1,29,2754.93,0,-1.33,2,0,2,2
0,20,205.33,0,10.68,2,0,2,2
0,20,1583.06,0,328.0,2,0,0,2
1,47,1060.0605,0,-71.03,2,0,1,2
2,32,3245.73,0,569.57,1,0,2,2
0,42,3609.88,0,-1396.22,1,0,2,2
2,38,952.47,0,270.69,1,0,1,2
4,49,2470.84,0,25.04,1,0,2,2
4,35,1445.6,0,126.03,1,0,2,2
1,46,410.43,0,-54.58,1,0,1,2
1,25,2674.18,0,631.99,1,0,2,2
1,50,5513.82,0,1581.93,1,0,2,2
3,16,225.46,0,-33.03,3,0,1,2
2,27,1541.781,0,14.35,0,0,1,2
0,29,531.063,0,24.56,0,0,1,2
4,25,453.2455,0,3.31,0,0,1,2
0,45,1090.6,0,300.91,0,0,1,2
2,32,4800.44,0,1912.92,0,0,1,2
2,28,697.5,0,169.89,0,0,1,2
0,36,551.44,0,28.7,1,0,1,2
4,37,5610.84,0,2366.51,1,0,1,2
3,14,138.31,0,-31.16,0,0,2,2
4,45,12571.63,0,5455.96,4,0,1,2
3,42,642.1,0,41.56,4,0,1,2
3,9,106.05,0,-14.52,4,0,0,2
1,6,112.4,0,-46.75,4,0,1,2
0,3,46.46,0,-25.13,4,0,0,2
0,29,701.94,0,158.91,4,0,1,2
3,3,58.14,0,-96.25,4,0,1,2
0,1,21.45,0,-7.22,4,0,0,2
0,13,59.03,1,26.92,5,1,0,0
1,3,49.59,1,-8.38,5,2,0,0
2,18,130.32,1,-67.28,5,0,0,0
2,40,436.17,1,-141.27,5,1,0,0
3,19,368.04,1,70.39,5,3,0,0
1,5,24.16,1,8.05,5,1,0,0
1,41,270.84,1,-78.02,2,1,0,0
0,5,101.21,1,2.13,2,2,0,0
1,34,1608.08,1,-82.16,2,0,1,0
0,23,275.16,1,43.35,2,3,0,0
1,49,6175.777,1,1881.58,2,0,1,0
2,30,387.0,1,-31.45,2,2,0,0
1,2,30.83,1,7.27,2,0,0,0
3,22,440.92,1,-65.18,2,3,2,0
0,26,626.07,1,185.32,2,0,0,0
0,20,660.27,1,63.83,2,2,0,0
3,34,971.95,1,-21.1,2,3,0,0
3,28,456.91,1,-328.18,2,0,0,0
2,4,40.72,1,-10.25,2,3,0,0
0,4,63.52,1,-8.47,2,0,0,0
3,13,438.93,1,-119.02,2,0,1,0
4,10,550.61,1,98.32,2,3,0,0
2,15,1062.959,1,298.48,2,1,1,0
0,21,917.39,1,393.41,2,3,0,0
3,27,899.97,1,-246.3,2,1,2,0
0,1,17.89,1,10.51,2,0,0,0
1,43,701.46,1,-90.14,2,3,1,0
3,28,168.57,1,16.65,2,0,0,0
2,39,199.39,1,101.13,2,2,0,0
1,5,325.43,1,-76.11,1,0,0,0
3,20,963.3,1,367.12,1,3,0,0
2,39,2083.0525,1,354.96,1,2,1,0
2,26,188.05,1,-21.41,1,0,0,0
2,48,293.3,1,-193.48,1,0,0,0
0,10,309.3,1,-77.89,1,0,1,0
1,15,896.1805,1,82.04,1,0,1,0
1,46,2640.6865,1,751.38,1,0,1,0
2,6,2528.49,1,580.15,1,0,0,0
1,34,684.66,1,35.09,1,3,2,0
4,25,165.36,1,-94.79,1,3,0,0
3,19,7608.88,1,3049.45,1,2,0,0
2,31,3229.66,1,695.06,1,3,1,0
2,24,4010.9375,1,630.7,1,3,1,0
1,49,8223.07,1,2549.4,1,0,1,0
1,29,374.67,1,30.63,3,2,0,0
3,21,848.2,1,163.78,3,0,0,0
1,29,5010.7415,1,1196.37,0,1,1,0
3,27,384.9,1,-108.28,0,1,0,0
4,28,1350.34,1,-517.17,0,0,0,0
3,23,104.82,1,6.84,0,0,0,0
1,36,336.25,1,25.95,0,2,0,0
2,31,4726.595,1,1176.48,0,0,1,0
3,20,234.09,1,-11.69,0,0,2,0
1,46,7807.45,1,1660.15,0,2,0,0
4,48,1269.79,1,-65.33,0,1,1,0
2,21,1222.68,1,300.97,0,1,0,0
2,26,390.2,1,45.0,0,1,2,0
1,6,49.55,1,-20.33,0,3,0,0
4,9,3800.4,1,1234.57,0,1,0,0
4,47,695.99,1,-157.44,0,2,0,0
1,42,939.77,1,9.72,0,3,1,0
4,16,2232.66,1,-521.09,0,0,1,0
4,42,1811.3,1,520.41,0,0,0,0
0,14,125.54,1,-15.74,0,2,0,0
3,45,2404.599,1,496.89,0,3,1,0
0,1,65.7475,1,-252.48,0,0,1,0
2,17,118.36,1,-60.65,0,2,0,0
3,36,2051.016,1,483.97,0,3,1,0
3,21,309.62,1,-80.2,0,0,0,0
2,25,2529.396,1,371.21,0,1,1,0
2,23,1223.3795,1,83.57,0,0,1,0
1,9,264.63,1,-66.78,0,2,1,0
3,38,260.41,1,-45.75,0,0,0,0
1,30,201.35,1,-107.37,0,0,0,0
1,36,9544.18,1,3392.88,0,0,1,0
3,14,633.08,1,145.48,0,0,0,0
1,5,217.85,1,-25.31,0,0,0,0
3,22,196.75,1,0.13,0,0,2,0
2,34,2833.19,1,1409.87,0,2,0,0
4,18,986.24,1,68.9,0,0,1,0
0,2,19.02,1,10.73,0,0,2,0
4,28,1546.3965,1,226.72,0,0,1,0
3,4,103.9,1,-19.26,1,2,2,0
0,39,3401.8,1,-508.87,1,1,0,0
3,19,146.63,1,-30.06,1,1,0,0
0,26,258.11,1,9.95,1,1,0,0
0,9,1288.515,1,-382.57,1,1,1,0
4,4,38.76,1,-12.13,1,0,0,0
3,18,360.24,1,-36.24,1,2,1,0
2,44,210.46,1,50.04,1,1,0,0
3,29,5159.3725,1,1252.48,1,1,1,0
4,20,857.95,1,51.85,1,1,1,0
1,7,127.74,1,-5.57,1,1,1,0
0,42,7143.927,1,2374.73,1,2,1,0
3,43,1751.68,1,771.83,1,0,0,0
3,7,381.1995,1,-233.56,1,0,1,0
0,28,2752.0,1,336.47,0,0,1,0
1,23,1314.64,1,575.38,0,1,0,0
0,46,2332.23,1,1085.93,0,2,0,0
0,39,1140.26,1,387.2,3,0,2,0
4,8,55.59,1,-17.95,3,3,0,0
3,12,2011.6355,1,-53.69,3,0,1,0
0,15,605.1,1,92.81,3,2,0,0
0,14,438.47,1,157.89,3,0,0,0
0,4,136.68,1,-125.16,3,3,1,0
0,19,3555.29,1,183.28,3,3,0,0
1,15,76.94,1,29.67,3,0,0,0
1,44,1642.642,1,314.84,3,1,1,0
2,23,404.24,1,-76.99,4,0,0,0
2,32,1381.88,1,598.2,4,0,2,0
2,43,1307.35,1,-154.24,4,2,1,0
2,3,523.58,1,-179.36,4,2,0,0
4,21,7512.03,1,2017.64,4,0,0,0
4,26,363.16,1,3.92,4,0,0,0
0,34,772.56,1,143.87,4,2,0,0
2,31,614.35,1,78.89,4,0,0,0
2,14,76.06,1,-35.99,4,0,0,0
2,42,372.69,1,-177.03,4,1,0,0
2,46,411.56,1,-188.02,4,3,0,0
3,42,906.64,1,-148.93,4,0,0,0
1,32,270.73,1,-54.57,4,0,0,0
2,2,45.64,1,-0.11,4,0,0,0
3,19,108.21,1,-50.02,4,2,0,0
4,15,150.33,1,-98.23,4,0,0,0
0,45,529.28,1,-30.27,4,3,0,0
1,27,244.57,0,46.71,5,1,0,0
2,28,370.48,0,-5.45,5,1,0,0
0,18,136.29,0,-77.28,5,1,0,0
1,42,266.36,0,-191.28,2,1,0,0
4,14,1170.025,0,4.22,2,1,1,0
3,25,397.84,0,-14.75,2,1,0,0
2,15,310.87,0,-21.48,2,1,1,0
3,25,144.84,0,-120.99,2,1,0,0
2,21,1049.79,0,135.79,2,1,2,0
2,16,817.18,0,103.38,2,1,0,0
3,13,121.66,0,-11.8,2,1,0,0
3,48,538.22,0,-154.66,2,1,1,0
3,15,822.8425,0,4.39,2,1,1,0
1,50,281.39,0,-106.4,2,1,0,0
1,47,256.0,0,-119.84,2,1,0,0
3,23,1404.22,0,202.87,2,1,2,0
0,40,6789.9275,0,1864.66,2,1,1,0
1,14,2232.06,0,542.16,2,1,0,0
2,13,735.54,0,171.82,2,1,0,0
3,26,208.6,0,-56.45,1,1,2,0
4,7,83.81,0,21.92,1,1,0,0
1,45,712.04,0,-110.93,1,1,1,0
1,42,557.85,0,89.45,1,1,0,0
2,46,590.43,0,82.59,1,1,0,0
2,8,216.33,0,-17.37,1,1,0,0
4,9,50.93,0,-34.98,1,1,0,0
4,44,792.8,0,26.27,1,1,0,0
4,14,782.4505,0,-11.4,1,1,1,0
0,43,241.19,0,-103.65,1,1,0,0
1,16,92.06,0,5.66,1,1,0,0
1,49,165.51,0,-269.91,1,1,0,0
3,2,34.88,0,-22.12,1,1,2,0
0,24,2289.92,0,1037.55,1,1,0,0
3,23,93.05,0,15.27,1,1,0,0
2,13,63.33,0,-39.96,3,1,0,0
2,36,1436.55,0,-4.01,3,1,2,0
1,13,1072.22,0,149.64,3,1,1,0
0,35,543.72,0,-211.13,0,1,0,0
1,11,2021.147,0,-60.39,0,1,1,0
2,34,2154.34,0,177.66,0,1,0,0
1,8,1042.25,0,195.16,0,1,0,0
4,25,409.08,0,78.86,0,1,2,0
2,14,84.09,0,-73.14,0,1,0,0
2,20,42.22,0,-7.73,0,1,0,0
0,22,245.96,0,-33.82,0,1,0,0
3,37,608.33,0,-70.04,0,1,0,0
0,45,132.31,0,10.91,0,1,0,0
2,36,1646.05,0,649.8,0,1,0,0
1,13,47.93,0,15.82,0,1,0,0
2,41,152.28,0,-154.81,0,1,0,0
0,42,1498.46,0,565.37,0,1,2,0
4,45,253.89,0,-83.66,0,1,0,0
4,15,297.05,0,-16.89,0,1,0,0
4,7,108.26,0,25.51,0,1,0,0
4,29,1194.96,0,107.45,0,1,1,0
4,49,2692.6895,0,768.32,0,1,1,0
2,42,173.44,0,-172.4,0,1,2,0
1,5,15.38,0,1.61,0,1,0,0
3,37,443.35,0,-21.73,0,1,0,0
3,4,30.85,0,-12.88,0,1,0,0
1,20,100.11,0,-41.7,0,1,0,0
2,5,25.34,0,-21.29,0,1,0,0
2,11,178.57,0,-37.39,0,1,0,0
0,37,740.14,0,29.73,0,1,2,0
4,21,2024.0285,0,4.9,0,1,1,0
4,9,43.26,0,3.9,0,1,0,0
4,25,174.03,0,-42.37,0,1,0,0
0,47,263.81,0,-237.54,0,1,0,0
3,31,206.54,0,-178.82,0,1,0,0
1,27,4722.83,0,1749.78,0,1,0,0
0,36,277.88,0,-64.41,1,1,0,0
0,47,925.3,0,257.31,1,1,0,0
3,31,1295.54,0,214.23,1,1,0,0
0,39,403.73,0,-44.13,1,1,0,0
3,32,195.57,0,-132.93,1,1,0,0
1,11,558.62,0,118.32,1,1,0,0
3,24,135.88,0,-75.39,1,1,0,0
0,6,22.78,0,3.96,1,1,0,0
2,13,75.89,0,-31.01,1,1,0,0
2,25,978.77,0,220.91,1,1,0,0
2,18,881.32,0,373.67,1,1,0,0
3,3,124.81,0,-11.94,1,1,0,0
1,32,135.2,0,59.4,1,1,0,0
3,5,2019.65,0,289.88,0,1,0,0
0,6,232.21,0,-14.03,0,1,0,0
2,13,64.46,0,25.16,0,1,0,0
1,31,127.9,0,54.21,0,1,0,0
4,33,112.36,0,-159.74,3,1,0,0
4,16,481.049,0,46.51,3,1,1,0
1,43,260.59,0,-157.76,3,1,0,0
3,43,264.75,0,-212.51,3,1,0,0
3,43,1281.28,0,415.85,3,1,0,0
3,4,430.848,0,-492.77,3,1,1,0
3,17,518.8,0,54.63,3,1,0,0
0,32,824.24,0,-127.23,3,1,1,0
0,38,3701.5205,0,894.06,3,1,1,0
1,2,154.94,0,-358.43,3,1,1,0
4,3,8.6,0,-2.03,4,1,0,0
1,25,945.36,0,219.85,4,1,0,0
1,4,41.53,0,-15.53,4,1,0,0
2,11,618.1965,0,-132.53,4,1,1,0
0,9,58.98,0,-17.79,4,1,0,0
0,14,136.85,0,-4.43,4,1,0,0
0,1,12.74,0,-11.39,4,1,2,0
0,30,251.11,0,10.04,4,1,0,0
1,30,4965.7595,0,1198.97,5,0,1,0
1,12,93.54,0,-54.04,5,0,0,0
1,22,905.08,0,127.7,5,0,0,0
2,15,834.904,0,-11.68,5,0,1,0
2,18,2480.9205,0,313.58,5,0,1,0
2,33,511.83,0,-172.88,5,0,0,0
1,39,282.07,0,140.01,5,0,0,0
1,47,191.67,0,-236.27,5,0,0,0
1,18,507.64,0,118.94,5,0,0,0
4,8,820.284,0,-180.2,5,0,1,0
0,5,14.76,0,1.32,5,0,0,0
0,12,118.97,0,-0.06,5,0,2,0
1,7,384.33,0,87.68,5,0,0,0
1,3,239.03,0,-68.22,5,0,0,0
2,40,255.48,0,-116.79,5,0,0,0
0,41,844.09,0,52.56,5,0,2,0
4,50,751.77,0,353.2,5,0,0,0
4,47,2799.7,0,884.08,2,0,0,0
4,44,176.26,0,75.13,2,0,0,0
3,50,820.52,0,-191.22,2,0,0,0
2,25,854.88,0,-44.14,2,0,2,0
4,8,339.81,0,79.59,2,0,0,0
3,4,73.07,0,-41.01,2,0,0,0
4,5,36.86,0,-32.82,2,0,0,0
2,34,74.3,0,-129.01,2,0,2,0
2,44,268.34,0,-240.83,2,0,0,0
0,8,300.2,0,6.41,2,0,0,0
4,19,128.21,0,-55.13,2,0,0,0
0,9,252.79,0,58.23,2,0,0,0
3,48,207.08,0,-131.82,2,0,0,0
0,30,114.12,0,15.73,2,0,0,0
0,15,436.05,0,-92.58,2,0,1,0
0,49,5247.4835,0,1465.87,2,0,1,0
3,21,256.12,0,-18.19,2,0,0,0
4,11,152.67,0,12.76,2,0,0,0
1,49,465.83,0,-79.72,2,0,2,0
3,16,108.42,0,-50.82,2,0,0,0
3,27,78.47,0,17.99,2,0,0,0
1,43,6583.913,0,1459.79,2,0,1,0
0,29,593.32,0,28.99,2,0,1,0
1,15,593.73,0,108.01,2,0,0,0
4,11,32.4,0,8.78,2,0,0,0
4,26,4688.9485,0,1215.44,2,0,1,0
3,8,50.7,0,-44.07,2,0,0,0
3,48,6109.817,0,1374.95,2,0,1,0
3,1,232.67,0,-105.14,2,0,0,0
3,1,62.26,0,-23.24,2,0,0,0
3,31,157.79,0,-95.92,2,0,0,0
0,2,24.96,0,-12.8,2,0,0,0
1,31,166.76,0,-46.03,2,0,0,0
1,2,811.13,0,-517.47,2,0,0,0
1,35,3310.9455,0,822.4,2,0,1,0
2,17,691.59,0,261.24,2,0,0,0
2,45,345.2,0,183.53,2,0,0,0
4,5,165.04,0,-112.44,2,0,1,0
0,2,789.01,0,-539.59,2,0,0,0
3,14,403.17,0,147.45,2,0,0,0
4,46,249.02,0,-282.61,2,0,0,0
3,19,3548.67,0,1280.19,2,0,0,0
2,24,1350.531,0,221.18,2,0,1,0
4,8,127.8,0,-30.48,2,0,0,0
0,25,802.19,0,56.26,2,0,0,0
1,13,34.42,0,9.47,2,0,0,0
1,26,172.76,0,73.18,2,0,0,0
0,5,22.06,0,-22.28,2,0,0,0
2,6,826.9735,0,-413.33,2,0,1,0
1,24,2298.32,0,218.72,2,0,1,0
4,32,368.18,0,-36.78,2,0,0,0
1,15,19417.55,0,8417.57,2,0,0,0
1,31,615.58,0,168.0,2,0,0,0
2,38,2157.3085,0,519.25,2,0,1,0
2,16,347.47,0,-86.2,2,0,0,0
4,29,862.2,0,-45.1,2,0,1,0
0,1,18.92,0,-18.25,2,0,0,0
1,5,324.55,0,-12.82,2,0,0,0
3,19,281.84,0,-21.85,2,0,0,0
3,25,509.52,0,-145.78,2,0,1,0
4,42,2475.83,0,752.37,2,0,0,0
1,21,524.2,0,158.98,2,0,0,0
0,19,110.67,0,-43.75,2,0,0,0
0,20,1163.123,0,83.84,2,0,1,0
1,48,224.58,0,-144.76,2,0,0,0
1,34,365.77,0,155.69,2,0,0,0
3,34,216.3,0,103.16,2,0,0,0
1,43,154.18,0,-166.92,2,0,0,0
3,8,52.39,0,-17.38,2,0,2,0
3,1,97.13,0,-37.06,2,0,0,0
1,2,51.21,0,-27.53,2,0,0,0
1,43,683.46,0,-138.82,2,0,0,0
3,49,8551.544,0,2763.13,2,0,1,0
2,5,503.3275,0,-488.31,2,0,1,0
0,47,186.93,0,56.44,2,0,0,0
0,44,4263.9315,0,1411.03,2,0,1,0
3,7,387.17,0,-204.65,2,0,1,0
3,24,60.36,0,-119.62,1,0,0,0
4,36,1936.3,0,278.12,1,0,0,0
1,4,14.23,0,-4.43,1,0,2,0
1,39,272.07,0,-206.46,1,0,0,0
0,26,113.85,0,-93.93,1,0,2,0
2,32,5686.25,0,2109.21,1,0,0,0
3,36,283.21,0,-196.06,1,0,0,0
4,14,222.91,0,20.21,1,0,1,0
1,18,1038.4,0,112.36,1,0,0,0
2,46,7441.29,0,2665.4,1,0,0,0
2,17,55.45,0,21.42,1,0,0,0
2,42,433.68,0,44.1,1,0,0,0
2,36,1423.35,0,-580.32,1,0,1,0
4,40,434.62,0,-68.98,1,0,0,0
2,25,2407.693,0,424.14,1,0,1,0
2,6,17.0,0,-4.61,1,0,0,0
2,15,67.41,0,-49.6,1,0,2,0
2,19,130.67,0,-77.18,1,0,0,0
0,45,440.39,0,186.64,1,0,0,0
0,38,3152.75,0,1166.4,1,0,1,0
2,42,1681.6,0,167.37,1,0,1,0
2,18,925.03,0,-3.68,1,0,1,0
3,8,327.61,0,54.9,1,0,0,0
0,16,178.4,0,20.08,1,0,2,0
2,3,171.9635,0,-296.37,1,0,1,0
4,34,937.04,0,391.6,1,0,0,0
4,17,1616.64,0,26.94,1,0,1,0
1,19,120.56,0,-79.35,1,0,0,0
2,42,1146.11,0,330.63,1,0,2,0
3,12,76.61,0,-31.83,1,0,2,0
1,50,8221.2935,0,2342.21,1,0,1,0
1,7,1158.26,0,170.08,1,0,0,0
1,9,298.52,0,73.19,1,0,0,0
1,34,667.35,0,80.92,1,0,0,0
4,31,3206.965,0,575.33,1,0,1,0
3,44,2435.32,0,650.56,1,0,0,0
1,40,196.5,0,-99.76,1,0,0,0
4,15,572.4325,0,-19.44,1,0,1,0
4,39,5250.6625,0,930.99,1,0,1,0
4,10,28.81,0,7.15,1,0,0,0
3,31,639.19,0,274.9,1,0,0,0
4,42,152.55,0,-20.27,1,0,0,0
4,36,152.96,0,-123.87,1,0,0,0
0,18,101.34,0,26.11,1,0,0,0
0,32,294.04,0,-5.53,1,0,0,0
2,35,543.22,0,68.44,1,0,2,0
3,31,341.71,0,32.19,1,0,0,0
1,46,648.26,0,30.48,1,0,0,0
2,20,173.09,0,-6.71,1,0,0,0
1,47,945.03,0,267.64,1,0,0,0
4,3,33.64,0,-22.45,1,0,0,0
4,30,176.15,0,-125.36,1,0,0,0
1,37,241.14,0,-120.08,1,0,0,0
0,47,672.46,0,279.74,1,0,0,0
1,18,3780.43,0,905.57,3,0,0,0
1,20,638.72,0,-130.88,3,0,1,0
0,34,245.4,0,-87.27,3,0,0,0
3,44,642.8,0,-253.11,3,0,0,0
1,28,4479.16,0,610.9,3,0,0,0
0,14,1966.26,0,-34.79,3,0,0,0
2,24,114.17,0,-80.05,3,0,0,0
2,39,197.11,0,-89.42,3,0,0,0
3,36,2039.082,0,481.7,3,0,1,0
4,36,4711.244,0,1380.32,3,0,1,0
3,42,460.2,0,-214.39,3,0,0,0
3,10,155.45,0,-19.68,3,0,0,0
2,31,983.78,0,43.72,3,0,1,0
2,34,223.59,0,-66.05,0,0,0,0
0,14,1892.848,0,48.99,0,0,1,0
4,39,845.9,0,52.53,0,0,0,0
4,9,23.46,0,4.58,0,0,0,0
2,48,8101.9875,0,2369.84,0,0,1,0
2,8,1313.811,0,-457.16,0,0,1,0
2,46,247.21,0,-63.72,0,0,0,0
2,2,19.0,0,-10.73,0,0,0,0
2,50,8289.51,0,3051.62,0,0,0,0
0,29,185.61,0,-47.12,0,0,0,0
1,6,34.88,0,-18.34,0,0,0,0
0,7,384.2,0,-164.46,0,0,1,0
2,4,31.01,0,-4.49,0,0,0,0
2,46,331.83,0,-101.25,0,0,0,0
2,22,446.46,0,-1.88,0,0,1,0
2,31,1252.89,0,339.75,0,0,0,0
2,12,47.79,0,-57.75,0,0,0,0
2,3,63.84,0,-47.97,0,0,0,0
0,10,152.84,0,38.02,0,0,2,0
2,23,631.99,0,-43.96,0,0,1,0
0,29,1158.45,0,267.16,0,0,0,0
0,43,2568.71,0,590.77,0,0,0,0
2,43,170.81,0,-133.68,0,0,0,0
4,31,1784.048,0,394.45,0,0,1,0
4,46,1482.01,0,709.33,0,0,0,0
3,14,91.75,0,2.82,0,0,0,0
3,31,346.57,0,-116.45,0,0,1,0
0,19,82.43,0,-94.76,0,0,0,0
0,31,295.97,0,5.02,0,0,0,0
0,29,94.5,0,39.9,0,0,0,0
2,17,114.28,0,-38.72,0,0,0,0
4,7,27.99,0,-0.17,0,0,0,0
4,6,21.07,0,2.28,0,0,0,0
2,37,102.46,0,36.64,0,0,0,0
1,3,21.64,0,-13.33,0,0,0,0
0,26,1382.31,0,372.26,0,0,2,0
0,46,991.36,0,212.06,0,0,0,0
4,17,184.09,0,4.79,0,0,0,0
4,4,127.56,0,-41.75,0,0,0,0
4,50,1406.64,0,424.36,0,0,0,0
0,46,3197.45,0,97.16,0,0,1,0
2,13,2323.36,0,220.39,0,0,1,0
3,26,187.16,0,29.33,0,0,0,0
4,7,44.05,0,-21.77,0,0,0,0
2,2,13.3,0,-7.86,0,0,0,0
2,15,687.52,0,223.76,0,0,0,0
2,40,4538.66,0,506.86,0,0,0,0
0,47,168.55,0,71.77,0,0,0,0
2,20,939.39,0,-122.77,0,0,0,0
4,3,279.33,0,-44.18,0,0,0,0
1,36,170.42,0,-98.31,0,0,0,0
3,17,477.5045,0,-245.56,0,0,1,0
2,42,187.28,0,-94.36,0,0,0,0
3,16,72.08,0,-54.75,0,0,0,0
3,8,1265.293,0,-554.44,0,0,1,0
3,39,71.04,0,-20.65,0,0,0,0
1,25,67.45,0,24.28,0,0,0,0
4,22,482.37,0,34.03,0,0,1,0
2,45,2354.8,0,332.97,0,0,1,0
1,36,228.01,0,-185.54,0,0,0,0
0,6,323.53,0,136.32,0,0,2,0
1,2,29.31,0,-12.78,0,0,0,0
1,11,80.26,0,-22.55,0,0,0,0
3,20,2634.8555,0,257.76,0,0,1,0
3,46,281.0,0,-291.59,0,0,0,0
0,1,14.68,0,-13.78,0,0,0,0
0,11,10145.14,0,3724.57,0,0,0,0
0,16,68.45,0,-57.88,0,0,0,0
4,3,1326.09,0,-20.55,0,0,0,0
1,16,118.38,0,-42.46,0,0,0,0
3,33,195.98,0,-71.47,0,0,0,0
3,48,274.38,0,-94.82,0,0,0,0
2,16,4901.99,0,1724.68,0,0,0,0
4,30,4305.79,0,1020.32,0,0,0,0
3,24,67.35,0,22.63,0,0,0,0
4,22,446.72,0,-39.0,0,0,2,0
4,30,1580.6005,0,303.53,0,0,1,0
0,47,16002.29,0,4604.79,0,0,0,0
0,9,182.26,0,60.61,0,0,0,0
1,14,2145.6975,0,-176.79,0,0,1,0
1,18,1341.963,0,180.78,0,0,1,0
2,20,310.31,0,51.5,0,0,2,0
3,35,246.98,0,-94.78,0,0,2,0
2,28,128.69,0,28.29,0,0,0,0
1,24,68.88,0,1.31,0,0,0,0
0,42,286.73,0,-141.51,0,0,0,0
3,40,2405.4575,0,571.54,0,0,1,0
4,27,399.76,0,48.13,0,0,0,0
